index,text,emotion,number_of_words_title,emotion_test
0,Morgan Stanley to launch AI chatbot to woo the wealthy,joy,12,neutral
1,THU AM News: Human expertise remains crucial in AI applications ...,joy,13,neutral
2,Brave is another browser with AI. His chatbot does not stand on ChatGPT ...,joy,16,neutral
3,UK man encouraged by an AI chatbot to kill Queen Elizabeth II is sentenced to 9 years in prison for trying to carry out the murder,anger,28,anger
4,AI-Driven Earthquake Forecasting Shows Promise in Trials,joy,9,neutral
5,Innovation Concerns Grow Over EU AI Regulation | Corporate ...,fear,12,fear
6,New CData Connect Cloud GPT-Powered AI Generator Transforms ...,joy,11,neutral
7,"LinkedIn introduces AI-assisted recruiting tool, coaching chatbot",joy,10,neutral
8,AI ethics: AI reveals our anxiety over the mistreatment of animals,fear,13,fear
9,Soothe a doc: AI won't replace you,joy,9,neutral
10,Artificial Intelligence: The Biggest Dangers Aren't The Ones We Are ...,fear,14,fear
11,China Issues Measures on Generative Artificial Intelligence Services,fear,10,fear
12,How Can We Trust AI If We Don't Know How It Works,fear,15,fear
13,"Zeiss, Boehringer eye retinal disease-focused predictive AI pact",surprise,10,surprise
14,AI is not the new wave of music,surprise,12,surprise
15,"AI, ML, Data Engineering News Roundup: Stable Chat, Vertex AI ...",joy,13,neutral
16,"Truecaller Launched US and Canada Call Recording, Providing Professionals with Immediate, AI-powered Transcriptions",joy,16,neutral
17,WIZ.AI launches industry-shaking large language model for various business fields,surprise,14,surprise
18,White House launches AI-based contest to secure government ...,fear,11,fear
19,How militaries are using AI on and off the battlefield,fear,13,fear
20,China's Iflytek unveils AI chatbot to rival ChatGPT,surprise,10,surprise
21,AI-Driven Customer Experience in Tourism,joy,7,neutral
22,Laying the foundation for data- and AI-led growth,joy,12,neutral
23,Generative Artificial Intelligence by IMKI for Culture,joy,10,neutral
24,Outreach Unveils AI Assist at Unleash 2023,surprise,10,surprise
25,OOCL launches AI chatbot for customers,joy,10,neutral
26,Psync security camera equipped with GPT artificial intelligence unveiled,joy,11,neutral
27,NEC develops Japanese-language generative AI,joy,9,neutral
28,"The AI market will be worth $600 billion, Nvidia exec says",joy,14,neutral
29,How Nvidia uses GPT-4 to make AI better at Minecraft,joy,12,neutral
30,Amazon develops AI model to capture ChatGPT... to be released as early as December,joy,16,neutral
31,"With 1 billion members, LinkedIn launches chatbot with generative AI to help users get jobs",joy,18,neutral
32,Waker provides LLM-based US stock market analysis content to KBS,joy,13,neutral
33,Microsoft Deputy CTO Sam Schillace on How AI Will Shift Our ...,fear,14,fear
34,AI Outperforms Humans in Creativity Test,fear,9,fear
35,Fujitsu launches technology to automatically generate new AI ...,joy,12,neutral
36,Platform allegedly sells AI child porn,anger,8,anger
37,The Creator's Tragedy: 3 Frankenstein Reflections on Using AI to...,fear,14,fear
38,UiPath Accelerates How Customers Can Create Generative AI Applications with New Connector for Amazon Bedrock,joy,18,neutral
39,Baidu CEO Robin Li says more than 70 AI models already released ...,joy,15,neutral
40,Elevate Your AI Journey with Amazon Bedrock: Unraveling The Key ...,joy,13,neutral
41,"Biden AI order sparks tug of war over regulations, oversight",fear,13,fear
42,Most popular generative AI projects on GitHub are the least secure,fear,14,fear
43,War Crimes in an Era of Fake Truth and Artificial Intelligence,anger,14,anger
44,A recipe for trustworthy artificial intelligence | Center for Research ...,fear,16,fear
45,"""AI Librarian"" guides from A-Z",joy,15,neutral
46,Should You Use AI To Write Your Resume In 2023?,joy,12,neutral
47,Dallas ISD Encourages Responsible Use of AI,joy,10,neutral
48,"Leader: Sure, AI could kill us — but it could help us too",fear,16,fear
49,"Samsung, LG, SK' Big 3 IT services, generative AI solution 'match'",surprise,14,surprise
50,"Generative AI, financial models top of mind for state CIOs in ...",joy,14,neutral
51,AI language model GPT-3 can generate more persuasive ...,joy,13,neutral
52,"AI automatically generates ""financial analysis report"": Financial AI equipped with GPT-4...",joy,14,neutral
53,AI inside prompts 22.59 million tokens in Japanese LLM service...,joy,12,neutral
54,M42 Announces New Clinical LLM to Transform the Future of AI in ...,joy,16,neutral
55,What will it take to build a Generative AI winner?,joy,12,neutral
56,Why global regulators are in a quandary on how to govern AI,fear,15,fear
57,"Cybersecurity, privacy and artificial intelligence in health | Waterloo ...",fear,14,fear
58,"GPT Revolution | ""Black Widow"" Scarlett Johansson plans to take legal action after her face was changed by AI",anger,22,anger
59,AI Will Revolutionize Construction... If We Let It,joy,11,neutral
60,UCLA Engineers Find AI-Based Solution to Communicate ...,joy,15,neutral
61,OSCE spotlights Artificial Intelligence (AI) and Freedom of the Media,joy,12,neutral
62,Generative AI for Business: Top 7 Productivity Boosts,joy,10,neutral
63,Europe is looking for champions of generative AI,joy,12,neutral
64,Best all-purpose artificial intelligence sites,joy,7,neutral
65,AI Privacy Policy: Google's Updated Privacy Policy And BARD AI ...,fear,13,fear
